DATE,LIKE,HAHA,LOVE,WOW,CARE,ANGRY,SAD
2021-06-25,29220.0,1561.0,173.0,340.0,114.0,122.0,208.0
2021-06-26,17526.0,799.0,77.0,353.0,73.0,45.0,35.0
2021-06-27,10758.0,290.0,44.0,230.0,64.0,33.0,108.0
2021-06-28,17024.0,282.0,89.0,319.0,55.0,78.0,93.0
2021-06-29,12378.0,654.0,125.0,144.0,58.0,8.0,121.0
2021-06-30,16952.0,550.0,77.0,150.0,27.0,12.0,11.0
2021-07-01,6507.0,141.0,89.0,53.0,12.0,40.0,9.0
2021-07-02,25305.0,3227.0,184.0,386.0,35.0,61.0,33.0
2021-07-03,11057.0,113.0,53.0,48.0,11.0,9.0,4.0
2021-07-04,15264.0,442.0,50.0,60.0,22.0,12.0,6.0
2021-07-05,20671.0,469.0,124.0,992.0,53.0,12.0,833.0
2021-07-06,26015.0,617.0,165.0,190.0,48.0,28.0,97.0
2021-07-07,16317.0,2605.0,133.0,172.0,28.0,6.0,14.0
2021-07-08,12173.0,2641.0,67.0,433.0,31.0,37.0,99.0
2021-07-09,12006.0,190.0,119.0,53.0,18.0,6.0,11.0
2021-07-10,9415.0,95.0,63.0,56.0,17.0,3.0,8.0
2021-07-11,10229.0,410.0,102.0,64.0,18.0,2.0,7.0
2021-07-12,20376.0,1842.0,91.0,207.0,33.0,7.0,38.0
2021-07-13,23620.0,876.0,169.0,231.0,73.0,67.0,37.0
2021-07-14,10457.0,429.0,71.0,93.0,32.0,8.0,21.0
2021-07-15,13601.0,734.0,61.0,1218.0,23.0,11.0,8.0
2021-07-16,32366.0,1960.0,194.0,311.0,40.0,9.0,21.0
2021-07-17,9262.0,3793.0,42.0,328.0,34.0,14.0,13.0
2021-07-18,12639.0,3095.0,45.0,86.0,23.0,9.0,17.0
2021-07-19,18388.0,491.0,99.0,150.0,39.0,28.0,18.0
2021-07-20,32868.0,2812.0,160.0,580.0,51.0,26.0,30.0
2021-07-21,13278.0,696.0,56.0,214.0,29.0,23.0,98.0
2021-07-22,11470.0,379.0,63.0,115.0,18.0,19.0,45.0
2021-07-23,28939.0,2674.0,170.0,80.0,31.0,5.0,21.0
2021-07-24,8398.0,133.0,32.0,29.0,13.0,8.0,3.0
2021-07-25,20217.0,305.0,103.0,418.0,18.0,4.0,35.0
2021-07-26,12679.0,342.0,49.0,69.0,35.0,3.0,11.0
2021-07-27,7557.0,509.0,58.0,240.0,35.0,5.0,124.0
2021-07-28,36777.0,2694.0,201.0,1180.0,122.0,26.0,87.0
2021-07-29,16965.0,602.0,280.0,158.0,27.0,18.0,14.0
2021-07-30,29927.0,1439.0,262.0,274.0,127.0,7.0,48.0
2021-07-31,16738.0,108.0,134.0,239.0,123.0,51.0,52.0
2021-08-01,27194.0,205.0,496.0,32.0,142.0,6.0,26.0
2021-08-02,24671.0,784.0,342.0,187.0,61.0,43.0,23.0
2021-08-03,13185.0,566.0,104.0,140.0,147.0,17.0,43.0
2021-08-04,20790.0,544.0,294.0,87.0,139.0,5.0,26.0
2021-08-05,25820.0,343.0,133.0,248.0,154.0,94.0,26.0
2021-08-06,22735.0,3310.0,129.0,219.0,57.0,9.0,136.0
2021-08-07,8073.0,187.0,69.0,72.0,212.0,13.0,53.0
2021-08-08,5387.0,156.0,42.0,33.0,17.0,4.0,16.0
2021-08-09,17065.0,1158.0,108.0,202.0,30.0,21.0,35.0
2021-08-10,19767.0,652.0,65.0,166.0,20.0,32.0,35.0
2021-08-11,18378.0,503.0,74.0,246.0,29.0,2.0,47.0
2021-08-12,17050.0,200.0,90.0,68.0,23.0,12.0,20.0
2021-08-13,25645.0,1648.0,194.0,165.0,50.0,46.0,70.0
2021-08-14,11109.0,404.0,111.0,75.0,22.0,8.0,9.0
2021-08-15,9754.0,193.0,45.0,87.0,13.0,63.0,9.0
2021-08-16,60964.0,8076.0,363.0,709.0,115.0,53.0,81.0
2021-08-17,20729.0,1859.0,76.0,345.0,34.0,27.0,32.0
2021-08-18,12078.0,582.0,48.0,91.0,23.0,28.0,21.0
2021-08-19,16651.0,2534.0,87.0,656.0,30.0,39.0,63.0
2021-08-20,34614.0,973.0,194.0,663.0,90.0,115.0,153.0
2021-08-21,19936.0,1668.0,84.0,172.0,41.0,11.0,28.0
2021-08-22,14473.0,1200.0,60.0,1137.0,86.0,84.0,347.0
2021-08-23,27861.0,2665.0,77.0,128.0,40.0,21.0,89.0
2021-08-24,18058.0,3155.0,57.0,353.0,34.0,27.0,67.0
2021-08-25,15682.0,3273.0,106.0,292.0,82.0,32.0,40.0
2021-08-26,12102.0,1377.0,93.0,105.0,50.0,37.0,27.0
2021-08-27,23589.0,2385.0,150.0,348.0,74.0,31.0,64.0
2021-08-28,10689.0,338.0,84.0,89.0,33.0,9.0,10.0
2021-08-29,10821.0,329.0,77.0,107.0,33.0,12.0,7.0
2021-08-30,12090.0,540.0,66.0,274.0,27.0,27.0,118.0
2021-08-31,23913.0,2774.0,183.0,282.0,62.0,23.0,28.0
2021-09-01,19226.0,2383.0,148.0,219.0,58.0,44.0,80.0
2021-09-02,18612.0,692.0,119.0,182.0,20.0,25.0,16.0
2021-09-03,29838.0,5149.0,191.0,472.0,102.0,146.0,102.0
2021-09-04,7609.0,551.0,57.0,102.0,43.0,9.0,11.0
2021-09-05,12335.0,894.0,70.0,321.0,17.0,6.0,43.0
2021-09-06,16918.0,764.0,110.0,375.0,30.0,109.0,24.0
2021-09-07,13365.0,795.0,94.0,260.0,47.0,82.0,96.0
2021-09-08,11796.0,171.0,66.0,137.0,31.0,20.0,46.0
2021-09-09,21771.0,8883.0,110.0,449.0,65.0,128.0,118.0
2021-09-10,8329.0,736.0,113.0,230.0,30.0,27.0,30.0
2021-09-11,30546.0,1267.0,194.0,279.0,58.0,263.0,57.0
2021-09-12,5101.0,1101.0,57.0,92.0,12.0,11.0,18.0
2021-09-13,15384.0,2282.0,102.0,468.0,65.0,116.0,59.0
2021-09-14,20459.0,753.0,116.0,188.0,47.0,33.0,24.0
2021-09-15,12930.0,2699.0,123.0,251.0,29.0,41.0,64.0
2021-09-16,20065.0,3705.0,105.0,361.0,53.0,72.0,40.0
2021-09-17,12963.0,1973.0,150.0,435.0,35.0,176.0,36.0
2021-09-18,39079.0,1768.0,261.0,325.0,64.0,40.0,25.0
2021-09-19,11778.0,360.0,60.0,125.0,22.0,4.0,11.0
2021-09-20,20782.0,2589.0,120.0,661.0,54.0,33.0,45.0
2021-09-21,16443.0,1952.0,127.0,299.0,29.0,12.0,23.0
2021-09-22,25737.0,3777.0,96.0,266.0,60.0,58.0,40.0
2021-09-23,13560.0,393.0,72.0,396.0,41.0,35.0,31.0
2021-09-24,18291.0,1202.0,144.0,261.0,47.0,147.0,42.0
2021-09-25,9226.0,264.0,86.0,117.0,23.0,5.0,36.0
2021-09-26,16661.0,662.0,110.0,307.0,32.0,21.0,56.0
2021-09-27,20841.0,2712.0,86.0,591.0,51.0,81.0,65.0
2021-09-28,14027.0,1030.0,125.0,427.0,33.0,6.0,15.0
2021-09-29,15576.0,1267.0,67.0,332.0,25.0,30.0,79.0
2021-09-30,16956.0,1202.0,89.0,252.0,25.0,67.0,46.0
2021-10-01,20963.0,2331.0,95.0,437.0,45.0,38.0,88.0
2021-10-02,10728.0,317.0,40.0,142.0,17.0,67.0,7.0
2021-10-03,12346.0,2047.0,49.0,61.0,25.0,14.0,10.0
2021-10-04,17826.0,1157.0,63.0,409.0,23.0,13.0,72.0
2021-10-05,16428.0,3129.0,64.0,261.0,47.0,54.0,60.0
2021-10-06,11439.0,1399.0,104.0,310.0,24.0,43.0,72.0
2021-10-07,13406.0,711.0,58.0,118.0,21.0,16.0,20.0
2021-10-08,18238.0,1686.0,89.0,220.0,42.0,32.0,26.0
2021-10-09,7705.0,106.0,59.0,49.0,15.0,12.0,8.0
2021-10-10,4144.0,429.0,27.0,128.0,16.0,4.0,3.0
2021-10-11,13995.0,1286.0,117.0,183.0,151.0,4.0,31.0
2021-10-12,14832.0,1202.0,63.0,290.0,31.0,7.0,42.0
2021-10-13,11588.0,1241.0,103.0,144.0,23.0,11.0,15.0
2021-10-14,17910.0,3475.0,63.0,135.0,33.0,41.0,66.0
2021-10-15,22683.0,5448.0,155.0,411.0,60.0,26.0,28.0
2021-10-16,7418.0,199.0,78.0,45.0,5.0,5.0,3.0
2021-10-17,10727.0,330.0,55.0,115.0,39.0,2.0,25.0
2021-10-18,9820.0,1063.0,53.0,237.0,25.0,5.0,34.0
2021-10-19,15162.0,753.0,66.0,184.0,30.0,7.0,19.0
2021-10-20,13963.0,1308.0,78.0,389.0,22.0,19.0,98.0
2021-10-21,13711.0,544.0,77.0,372.0,18.0,9.0,106.0
2021-10-22,21497.0,981.0,97.0,235.0,57.0,33.0,23.0
2021-10-23,19744.0,1076.0,98.0,239.0,50.0,16.0,18.0
2021-10-24,2883.0,138.0,28.0,52.0,5.0,0.0,8.0
2021-10-25,11766.0,1148.0,64.0,184.0,15.0,5.0,9.0
2021-10-26,45162.0,2697.0,273.0,371.0,79.0,244.0,28.0
2021-10-27,12199.0,1192.0,79.0,240.0,21.0,37.0,18.0
2021-10-28,19701.0,544.0,156.0,110.0,36.0,5.0,3.0
2021-10-29,19670.0,2521.0,183.0,757.0,34.0,20.0,15.0
2021-10-30,8230.0,1473.0,34.0,51.0,8.0,3.0,5.0
2021-10-31,6721.0,426.0,89.0,54.0,14.0,5.0,7.0
2021-11-01,16873.0,3373.0,72.0,554.0,48.0,12.0,26.0
2021-11-02,42685.0,11547.0,168.0,392.0,71.0,19.0,20.0
2021-11-03,15130.0,209.0,191.0,166.0,184.0,22.0,100.0
2021-11-04,23145.0,2718.0,97.0,291.0,30.0,10.0,44.0
2021-11-05,11786.0,897.0,215.0,141.0,31.0,14.0,13.0
2021-11-06,10536.0,231.0,68.0,118.0,20.0,4.0,4.0
2021-11-07,10767.0,589.0,47.0,36.0,11.0,2.0,3.0
2021-11-08,25345.0,1225.0,101.0,240.0,38.0,5.0,18.0
2021-11-09,12153.0,1140.0,103.0,121.0,33.0,21.0,16.0
2021-11-10,19008.0,1355.0,181.0,184.0,33.0,51.0,46.0
2021-11-11,33598.0,3550.0,245.0,621.0,62.0,29.0,260.0
2021-11-12,19633.0,1937.0,217.0,279.0,36.0,19.0,236.0
2021-11-13,10863.0,67.0,79.0,34.0,22.0,1.0,4.0
2021-11-14,12304.0,145.0,101.0,217.0,14.0,5.0,10.0
2021-11-15,18233.0,311.0,125.0,54.0,20.0,9.0,7.0
2021-11-16,16848.0,1227.0,89.0,257.0,36.0,165.0,127.0
2021-11-17,21127.0,397.0,112.0,186.0,45.0,58.0,112.0
2021-11-18,16222.0,1095.0,76.0,248.0,28.0,30.0,33.0
